Timestamp,Gender,Degree,BusinessMarket,ProgrammingLanguages,BusinessSize,Title,Level,Yoe,YoeBuckets,TotalCompensationEgp,WorkSetting,BusinessFocus,BusinessLine,TotalCompensationEgpBuckets,Industries,IsEgp,CompanyLocation
4/2/2024 11:22:31,Male,Yes,,,A Start-up,Engineering Manager,Manager,8,5-8,"140,000.00",Hybrid,Product-based company,B2B,140-160K,"Fintech, Human Resources Services",EGP,Cairo
4/2/2024 11:23:21,Female,Yes,,"JavaScript, TypeScript",A Large Enterprise/Multinational Company,Backend Engineer,Senior,3.5,3-5,"252,106.00",Relocated,Product-based company,B2B,200+,"Automotive, Transportation",Another currency (e.g USD),No site in Egypt
4/2/2024 11:23:31,Male,Yes,Global,"Python, Go",A Large Enterprise/Multinational Company,Backend Engineer,Junior,1,0-1,"19,635.00",Hybrid,Product-based company,B2B & B2C lines,15-20K,Telecommunications,EGP,Cairo
4/2/2024 11:24:22,Male,Yes,Regional,Python,A Small and Medium Enterprise,AI & Automation Engineer,Team Lead,4.5,3-5,"116,400.00",Remote/Abroad,Product-based company,B2B,100-120K,"Automotive, Transportation, Technology, Production",Another currency (e.g USD),Cairo
4/2/2024 11:25:39,Male,Yes,Global,"JavaScript, Python",A Large Enterprise/Multinational Company,DevOps / SRE / Platform,Senior,4,3-5,"62,000.00",Hybrid,Telecom,B2B & B2C lines,60-70K,"Telecommunications, Technology",EGP,Cairo
4/2/2024 11:25:44,Female,Yes,Global,Go,A Large Enterprise/Multinational Company,Backend Engineer,Mid-level,3,1-3,"38,500.00",Hybrid,Both,B2B,35-40K,Telecommunications,EGP,Cairo
4/2/2024 11:26:01,Male,Yes,Global,C#,A Small and Medium Enterprise,Full-stack Engineer,Mid-level,3,1-3,"48,500.00",Remote/Egypt,Software House,B2B & B2C lines,40-50K,,Another currency (e.g USD),Cairo
4/2/2024 11:26:16,Male,Yes,,"Java, Python, R",A Large Enterprise/Multinational Company,Systems Architect,Senior,15,12-15,"36,000.00",Remote/Abroad,Software House,B2B,35-40K,Fintech,EGP,Cairo
4/2/2024 11:26:18,Male,No,,"PHP, JavaScript, Python, HTML/CSS",A Small and Medium Enterprise,Backend Engineer,Mid-level,5,3-5,"108,200.00",Remote/Abroad,Product-based company,B2B,100-120K,Marketing,Another currency (e.g USD),No site in Egypt
4/2/2024 11:26:29,Male,Yes,,C#,A Small and Medium Enterprise,Full-stack Engineer,Junior,1,0-1,"10,973.50",Remote/Abroad,Product-based company,B2C,10-15K,Human Resources Services,Another currency (e.g USD),No site in Egypt
4/2/2024 11:27:12,Male,No,Local,Python,A Large Enterprise/Multinational Company,Data Scientist,Junior,1.3,1-3,"10,000.00",Hybrid,Bank,B2B & B2C lines,10-15K,Banking and finance,EGP,Cairo
4/2/2024 11:27:20,Male,Yes,Global,"JavaScript, Python, TypeScript",A Large Enterprise/Multinational Company,Full-stack Engineer,Mid-level,2,1-3,"50,000.00",Hybrid,Product-based company,B2C,50-60K,Technology,Hybrid (e.g: Base in EGP and Cost of Living Allowance in EUR),Cairo
4/2/2024 11:27:44,Female,Yes,Global,"Java, Kotlin",A Start-up,Mobile Development Engineer,Mid-level,5,3-5,"84,875.00",Remote/Abroad,Product-based company,B2B & B2C lines,80-100K,"Fintech, Delivery, Transportation",Another currency (e.g USD),Remote
4/2/2024 11:28:28,Female,Yes,,"JavaScript, Python, HTML/CSS",A Small and Medium Enterprise,Full-stack Engineer,Junior,0,0-1,"15,000.00",Hybrid,Product-based company,B2B,15-20K,Market Research,EGP,Cairo
4/2/2024 11:29:51,Female,Yes,Global,Python,A Small and Medium Enterprise,Backend Engineer,Senior,4,3-5,"47,000.00",Hybrid,Product-based company,B2B & B2C lines,40-50K,Insurance,EGP,Cairo
4/2/2024 11:30:10,Male,Yes,Global,Java,A Large Enterprise/Multinational Company,QA / SDET Engineer,Mid-level,1,0-1,"33,000.00",Hybrid,Software House,B2B,30-35K,Automotive,Hybrid (e.g: Base in EGP and Cost of Living Allowance in EUR),Cairo
4/2/2024 11:30:21,Male,Yes,,Python,A Small and Medium Enterprise,Backend Engineer,Mid-level,4,3-5,"48,500.00",Remote/Abroad,Product-based company,B2B,40-50K,Education,Another currency (e.g USD),No site in Egypt
4/2/2024 11:30:34,Male,Yes,,"Python, R",A Start-up,Data Scientist,Junior,1,0-1,"14,500.00",Remote/Egypt,Software House,B2B,10-15K,"Fintech, Delivery, Transportation, Telecommunications, Technology",EGP,Cairo
4/2/2024 11:30:39,Female,Yes,Regional,Python,A Small and Medium Enterprise,DevOps / SRE / Platform,Junior,1,0-1,"20,166.00",Remote/Egypt,Product-based company,B2B,20-25K,"Healthcare, Telecommunications, Government",EGP,Cairo
4/2/2024 11:30:51,Male,Yes,,"JavaScript, Python, TypeScript",A Start-up,Backend Engineer,Junior,1.5,1-3,"30,000.00",Remote/Egypt,Product-based company,B2B,30-35K,Technology,EGP,Cairo
4/2/2024 11:30:54,Male,Yes,,"JavaScript, TypeScript, Kotlin, HTML/CSS",A Start-up,Frontend Engineer,Junior,1,0-1,"16,230.00",Remote/Abroad,Software House,B2C,15-20K,"Fintech, Technology",Another currency (e.g USD),Cairo
4/2/2024 11:31:56,Female,No,Global,"Python, C/C++, Matlab",A Small and Medium Enterprise,Embedded Systems Engineer,Senior,4.5,3-5,"121,977.50",Hybrid,Contracting compay to a company abroad,B2B,120-140K,"Telecommunications, Semiconductor",Another currency (e.g USD),Cairo
4/2/2024 11:31:57,Male,Yes,,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Frontend Engineer,Junior,1.5,1-3,"10,000.00",Remote/Egypt,Software House,B2B,10-15K,"Education, Law",EGP,Cairo
4/2/2024 11:32:29,Male,Yes,Local,TypeScript,A Start-up,Full-stack Engineer,Mid-level,2,1-3,"36,000.00",Hybrid,Product-based company,B2B & B2C lines,35-40K,Fintech,EGP,Cairo
4/2/2024 11:32:35,Male,Yes,Global,"Python, C/C++",A Large Enterprise/Multinational Company,Embedded Systems Engineer,Mid-level,1,0-1,"53,000.00",Hybrid,Product-based company,B2C,50-60K,"Automotive, Technology",Hybrid (e.g: Base in EGP and Cost of Living Allowance in EUR),Cairo
4/2/2024 11:32:43,Male,No,,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Backend Engineer,Junior,0,0-1,"20,000.00",Remote/Egypt,Software House,B2B & B2C lines,20-25K,Governmental Services,EGP,Cairo
4/2/2024 11:33:05,Male,Yes,Regional,"JavaScript, TypeScript",A Start-up,Backend Engineer,Junior,1,0-1,"15,000.00",Hybrid,Product-based company,B2B,15-20K,Real estate,EGP,Cairo
4/2/2024 11:34:07,Male,Yes,Global,"Java, Python",A Large Enterprise/Multinational Company,Data Engineer,Mid-level,2,1-3,"34,000.00",Hybrid,Product-based company,B2B & B2C lines,30-35K,"Fintech, Telecommunications",EGP,Cairo
4/2/2024 11:34:28,Male,Yes,,JavaScript,A Start-up,Backend Engineer,Senior,3.5,3-5,"82,450.00",Remote/Abroad,Product-based company,B2C,80-100K,Fintech,Another currency (e.g USD),Usa
4/2/2024 11:35:35,Female,Yes,,,A Large Enterprise/Multinational Company,Security/Network Engineer,Mid-level,3,1-3,"80,025.00",Remote/Abroad,Product-based company,B2B,80-100K,Technology,Another currency (e.g USD),Cairo
4/2/2024 11:35:50,Male,No,Regional,"Java, Python,",A Large Enterprise/Multinational Company,DevOps / SRE / Platform,Junior,1,0-1,"17,000.00",Hybrid,Product-based company,B2B & B2C lines,15-20K,Fintech,EGP,Cairo
4/2/2024 11:36:35,Male,Yes,Regional,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Frontend Engineer,Senior,5,3-5,"17,500.00",Remote/Egypt,Product-based company,B2B & B2C lines,15-20K,"Fintech, Technology",EGP,Cairo
4/2/2024 11:36:41,Male,No,,"JavaScript, TypeScript, HTML/CSS",A Start-up,Full-stack Engineer,Junior,2,1-3,"12,000.00",Remote/Abroad,Product-based company,B2B,10-15K,Technology,EGP,No site in Egypt
4/2/2024 11:37:08,Male,Yes,Regional,"Python, Ruby",A Start-up,"R&D Engineer (Computer Vision, NLP, etc.)",Junior,1,0-1,"97,000.00",Remote/Abroad,Software House,B2B,80-100K,Technology,Another currency (e.g USD),No site in Egypt
4/2/2024 11:37:19,Male,Yes,,"Java, PHP, JavaScript, Go, TypeScript",A Small and Medium Enterprise,Backend Engineer,Senior,6,5-8,"101,850.00",Hybrid,Product-based company,B2C,100-120K,Fintech,Another currency (e.g USD),Cairo
4/2/2024 11:37:32,Male,Yes,,"PHP, C/C++",A Start-up,Backend Engineer,Junior,1.5,1-3,"20,500.00",Hybrid,Product-based company,B2B,20-25K,Human Resources Services,EGP,Cairo
4/2/2024 11:37:46,Male,Yes,,"JavaScript, TypeScript, HTML/CSS,",A Start-up,Frontend Engineer,Senior,5,3-5,"111,550.00",Hybrid,Product-based company,B2B & B2C lines,100-120K,Food and Beverages,Hybrid (e.g: Base in EGP and Cost of Living Allowance in EUR),Cairo
4/2/2024 11:38:04,Male,Yes,Regional,C#,A Small and Medium Enterprise,Backend Engineer,Junior,1,0-1,"18,000.00",Hybrid,Product-based company,B2C,15-20K,,EGP,Cairo
4/2/2024 11:38:27,Male,No,,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Frontend Engineer,Mid-level,3,1-3,"41,370.50",Remote/Abroad,Software House,B2B & B2C lines,40-50K,"Fintech, Automotive, Aerospace",Another currency (e.g USD),Mansoura
4/2/2024 11:39:02,Male,Yes,Global,C#,A Large Enterprise/Multinational Company,Backend Engineer,Senior,3.5,3-5,"40,000.00",Hybrid,Software House,B2B,40-50K,Telecommunications,EGP,Cairo
4/2/2024 11:40:30,Male,Yes,,Python,A Small and Medium Enterprise,Backend Engineer,Mid-level,2,1-3,"20,000.00",Hybrid,Product-based company,B2B & B2C lines,20-25K,"Telecommunications, Technology",EGP,Cairo
4/2/2024 11:40:59,Male,Yes,Global,"Java, JavaScript, Go",A Large Enterprise/Multinational Company,Backend Engineer,Senior,10,8-10,"101,500.00",Hybrid,Product-based company,B2B & B2C lines,100-120K,"Fintech, Delivery, Transportation, Technology",Hybrid (e.g: Base in EGP and Cost of Living Allowance in EUR),Cairo
4/2/2024 11:41:18,Female,No,,,A Small and Medium Enterprise,Product Owner,Junior,1,0-1,"20,000.00",Office,Product-based company,B2C,20-25K,Telecommunications,EGP,Cairo
4/2/2024 11:41:25,Male,Yes,,"JavaScript, Python, TypeScript, HTML/CSS",A Large Enterprise/Multinational Company,Full-stack Engineer,Senior,5,3-5,"97,000.00",Remote/Abroad,Software House,B2B & B2C lines,80-100K,Governmental institutions,Another currency (e.g USD),No site in Egypt
4/2/2024 11:41:39,Male,Yes,,Java,A Large Enterprise/Multinational Company,DevOps / SRE / Platform,Mid-level,2,1-3,"20,000.00",Hybrid,Software House,B2B,20-25K,Technology,EGP,Cairo
4/2/2024 11:42:04,Male,Yes,Regional,,A Large Enterprise/Multinational Company,UI/UX Designer/Engineer,Mid-level,3,1-3,"17,700.00",Hybrid,Software House,B2B,15-20K,"Fintech, Telecommunications, Internal Systems",EGP,Cairo
4/2/2024 11:42:14,Male,Yes,,"PHP, JavaScript, HTML/CSS",A Small and Medium Enterprise,Backend Engineer,Junior,1.5,1-3,"29,100.00",Remote/Abroad,Product-based company,B2B & B2C lines,25-30K,"Supply Chain, Manufacturing, Human Resources Services, Production,",Another currency (e.g USD),No site in Egypt
4/2/2024 11:42:52,Male,No,Local,"Java, Python",A Large Enterprise/Multinational Company,Data Engineer,Junior,1,0-1,"25,000.00",Hybrid,Product-based company,B2C,25-30K,Telecommunications,EGP,Cairo
4/2/2024 11:43:09,Male,Yes,,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Backend Engineer,Mid-level,2.5,1-3,"25,000.00",Hybrid,Software House,B2B,25-30K,,EGP,Cairo
4/2/2024 11:44:18,Male,Yes,,Dart,A Start-up,Mobile Development Engineer,Senior,4,3-5,"97,000.00",Office,Product-based company,B2B & B2C lines,80-100K,Fintech,Another currency (e.g USD),Cairo
4/2/2024 11:45:49,Male,Yes,,Dart,A Start-up,Mobile Development Engineer,Junior,1,0-1,"19,400.00",Remote/Abroad,Product-based company,B2C,15-20K,FoodTech,Another currency (e.g USD),No site in Egypt
4/2/2024 11:46:15,Male,Yes,,,A Start-up,Engineering Manager,C-Level,19,15-20,"70,000.00",Hybrid,Product-based company,B2B & B2C lines,70-80K,Insurance,EGP,Cairo
4/2/2024 11:46:34,Male,No,Regional,"PHP, JavaScript, TypeScript, HTML/CSS",A Start-up,Frontend Engineer,Mid-level,3,1-3,"47,045.00",Remote/Abroad,Product-based company,B2B,40-50K,scheduling appointments system,Another currency (e.g USD),null
4/2/2024 11:46:45,Male,Yes,,JavaScript,A Start-up,Full-stack Engineer,Senior,5,3-5,"86,560.00",Remote/Abroad,Software House,B2B & B2C lines,80-100K,"Delivery, Education, Ecommerce and social media and marketplace",Another currency (e.g USD),Cairo
4/2/2024 11:47:31,Male,No,Regional,,A Start-up,Product Manager,Mid-level,8,5-8,"126,100.00",Remote/Abroad,Product-based company,B2B,120-140K,"Fintech, Technology",Another currency (e.g USD),No site in Egypt
4/2/2024 11:47:57,Male,Yes,Global,"Python, C/C++",A Large Enterprise/Multinational Company,Backend Engineer,Staff,12,10-12,"717,800.00",Relocated,Product-based company,B2C,200+,Telecommunications,Another currency (e.g USD),No site in Egypt
4/2/2024 11:48:04,Male,No,Regional,JavaScript,A Large Enterprise/Multinational Company,Backend Engineer,Junior,1.5,1-3,"28,500.00",Office,Product-based company,B2B & B2C lines,25-30K,Fintech,EGP,Cairo
4/2/2024 11:48:31,Male,Yes,Global,"Java, JavaScript, HTML/CSS",A Large Enterprise/Multinational Company,Full-stack Engineer,Junior,0,0-1,"17,000.00",Remote/Egypt,Software House,B2B,15-20K,"Fintech, Healthcare, Insurance, Supply Chain, Telecommunications, Technology, Human Resources Services",EGP,Cairo
4/2/2024 11:48:43,Female,Yes,Regional,"C#, JavaScript, Python, TypeScript",A Small and Medium Enterprise,Backend Engineer,Mid-level,3.5,3-5,"47,000.00",Hybrid,Product-based company,B2C,40-50K,Fintech,EGP,Cairo
4/2/2024 11:49:34,Female,Yes,Global,,A Large Enterprise/Multinational Company,UI/UX Designer/Engineer,Senior,7,5-8,"55,000.00",Remote/Egypt,Software House,B2B & B2C lines,50-60K,,EGP,Cairo
4/2/2024 11:50:06,Male,No,Global,Python,A Large Enterprise/Multinational Company,Data Engineer,Junior,1,0-1,"20,000.00",Remote/Egypt,Product-based company,B2C,20-25K,"Supply Chain, Manufacturing, Agriculture",EGP,Cairo
4/2/2024 11:51:01,Male,Yes,Global,"Java, Python",A Large Enterprise/Multinational Company,QA / SDET Engineer,Team Lead,8,5-8,"113,975.00",Hybrid,Product-based company,B2B,100-120K,Technology,Another currency (e.g USD),Cairo
4/2/2024 11:51:14,Male,Yes,Local,"Go, Scala",A Start-up,Backend Engineer,Mid-level,3,1-3,"40,000.00",Hybrid,Product-based company,B2C,40-50K,Fintech,EGP,Cairo
4/2/2024 11:51:49,Male,Yes,,"PHP, JavaScript, Python, HTML/CSS",A Start-up,Full-stack Engineer,Senior,6,5-8,"145,500.00",Remote/Abroad,Product-based company,B2C,140-160K,,Another currency (e.g USD),No site in Egypt
4/2/2024 11:53:30,Male,Yes,,"JavaScript, TypeScript, HTML/CSS",A Start-up,Frontend Engineer,Junior,2,1-3,"13,100.00",Hybrid,Product-based company,B2B,10-15K,"Technology, Human Resources Services",EGP,Cairo
4/2/2024 11:53:30,Male,Yes,Global,"JavaScript, TypeScript",A Start-up,Mobile Development Engineer,Mid-level,2.5,1-3,"23,000.00",Remote/Egypt,Kinda of both,B2B & B2C lines,20-25K,Fintech,EGP,Cairo
4/2/2024 11:53:36,Male,Yes,Global,Java,A Large Enterprise/Multinational Company,Backend Engineer,Mid-level,2,1-3,"33,800.00",Hybrid,Software House,B2B,30-35K,,EGP,Cairo
4/2/2024 11:54:05,Male,Yes,,,A Large Enterprise/Multinational Company,QA / SDET Engineer,Mid-level,3,1-3,"121,250.00",Relocated,Software House,B2B & B2C lines,120-140K,"Fintech, Healthcare, Insurance",Another currency (e.g USD),The Czech Republic
4/2/2024 11:54:49,Male,No,,"Python, VBA, SQL, M-Code",A Large Enterprise/Multinational Company,Data Analytics,Junior,2,1-3,"17,750.00",Remote/Egypt,Product-based company,B2B,15-20K,Manufacturing,EGP,Cairo
4/2/2024 11:55:06,Male,Yes,,"PHP, Go",A Small and Medium Enterprise,Backend Engineer,Senior,7,5-8,"361,480.00",Relocated,Product-based company,B2C,200+,Technology,Another currency (e.g USD),No site in Egypt
4/2/2024 11:55:25,Male,Yes,Global,"JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Frontend Engineer,Senior,8,5-8,"149,380.00",Hybrid,Software House,B2B & B2C lines,140-160K,"Fintech, Healthcare, Insurance, Energy, Technology, Education",Another currency (e.g USD),Cairo
4/2/2024 11:57:44,Male,Yes,,"Java, TypeScript",A Small and Medium Enterprise,Backend Engineer,Junior,1,0-1,"16,000.00",Remote/Egypt,Software House,B2B,15-20K,Healthcare,EGP,Cairo
4/2/2024 11:58:00,Male,Yes,Regional,"Java, Python",A Small and Medium Enterprise,Backend Engineer,Mid-level,4,3-5,"110,775.00",Hybrid,Product-based company,B2B & B2C lines,100-120K,"Fintech, Supply Chain, E-commerce",Another currency (e.g USD),Cairo
4/2/2024 11:58:10,Male,Yes,,Python,A Start-up,Data Engineer,Junior,1,0-1,"30,000.00",Hybrid,Product-based company,B2B & B2C lines,30-35K,e-commerce marketplace,EGP,Cairo
4/2/2024 11:58:45,Female,Yes,Regional,Python,A Start-up,QA / SDET Engineer,Mid-level,2,1-3,"33,000.00",Hybrid,Product-based company,B2C,30-35K,Fintech,EGP,Cairo
4/2/2024 11:58:46,Male,Yes,,"C#, JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Full-stack Engineer,Junior,1,0-1,"18,000.00",Hybrid,Software House,B2C,15-20K,Education,EGP,Cairo
4/2/2024 11:58:48,Male,Yes,,Python,A Large Enterprise/Multinational Company,Data Engineer,Junior,1,0-1,"15,000.00",Remote/Egypt,Software House,B2B,15-20K,"Fintech, Telecommunications",EGP,Cairo
4/2/2024 11:59:31,Male,Yes,Regional,"Python, C/C++",A Large Enterprise/Multinational Company,"R&D Engineer (Computer Vision, NLP, etc.)",Junior,1.5,1-3,"18,000.00",Remote/Egypt,Product-based company,B2C,15-20K,Manufacturing,EGP,Cairo
4/2/2024 12:00:55,Male,Yes,Global,"Go, Ruby",A Start-up,Backend Engineer,Mid-level,2,1-3,"33,000.00",Remote/Egypt,Product-based company,B2B,30-35K,Technology,EGP,Cairo
4/2/2024 12:01:04,Male,Yes,,TypeScript,A Small and Medium Enterprise,Frontend Engineer,Junior,2,1-3,"13,000.00",Hybrid,Software House,B2B & B2C lines,10-15K,"Healthcare, Technology",EGP,Cairo
4/2/2024 12:01:06,Female,Yes,,"JavaScript, HTML/CSS",A Small and Medium Enterprise,Frontend Engineer,Junior,1,0-1,"12,000.00",Hybrid,Product-based company,B2B & B2C lines,10-15K,"Delivery, Supply Chain",EGP,Cairo
4/2/2024 12:01:25,Male,Yes,Regional,Java,A Small and Medium Enterprise,QA / SDET Engineer,Junior,1,0-1,"7,000.00",Office,Software House,B2C,5-10K,"Healthcare, Supply Chain",EGP,Damietta
4/2/2024 12:02:04,Female,Yes,,Swift,A Small and Medium Enterprise,Mobile Development Engineer,Senior,5,3-5,"38,000.00",Remote/Egypt,Software House,B2B & B2C lines,35-40K,"Fintech, Delivery",EGP,Cairo
4/2/2024 12:03:35,Male,No,Local,Python,A Start-up,Data Analytics,Mid-level,2.5,1-3,"25,000.00",Hybrid,Product-based company,B2B,25-30K,Ecommerce,EGP,Cairo
4/2/2024 12:03:51,Male,Yes,Global,,A Large Enterprise/Multinational Company,DevOps / SRE / Platform,Junior,1,0-1,"23,000.00",Remote/Egypt,Software House,B2B & B2C lines,20-25K,"Insurance, Transportation, Telecommunications, Manufacturing, Technology",EGP,Cairo
4/2/2024 12:03:55,Male,Yes,Regional,bash script and powershell,A Large Enterprise/Multinational Company,DevOps / SRE / Platform,Junior,1,0-1,"17,000.00",Remote/Egypt,Software House,B2C,15-20K,Fintech,EGP,Cairo
4/2/2024 12:06:34,Male,Yes,,"C#, JavaScript, Python",A Small and Medium Enterprise,Backend Engineer,Senior,6,5-8,"46,917.00",Hybrid,Product-based company,B2B,40-50K,Insurance,EGP,Cairo
4/2/2024 12:06:55,Male,Yes,,Python,A Large Enterprise/Multinational Company,Data Analytics,Junior,2,1-3,"18,430.00",Hybrid,Data Center,B2B & B2C lines,15-20K,Electronic components data,Another currency (e.g USD),Banha
4/2/2024 12:07:30,Male,Yes,,"JavaScript, TypeScript, HTML/CSS",A Start-up,Full-stack Engineer,Junior,2,1-3,"20,612.50",Remote/Abroad,Product-based company,B2B & B2C lines,20-25K,"Fintech, Healthcare",Another currency (e.g USD),No site in Egypt
4/2/2024 12:07:40,Female,Yes,Global,"JavaScript, TypeScript, HTML/CSS",A Large Enterprise/Multinational Company,Frontend Engineer,Mid-level,2,1-3,"13,100.00",Office,Product-based company,B2B,10-15K,Telecommunications,EGP,Smart village
4/2/2024 12:07:58,Male,No,,"JavaScript, TypeScript, HTML/CSS",A Start-up,Frontend Engineer,Mid-level,1,0-1,"15,000.00",Remote/Egypt,Sass product,B2C,15-20K,Technology,EGP,No site in Egypt
4/2/2024 12:09:33,Female,Yes,Local,Java,A Small and Medium Enterprise,Full-stack Engineer,Mid-level,2,1-3,"32,500.00",Hybrid,Product-based company,B2B & B2C lines,30-35K,Fintech,EGP,Smart Village
4/2/2024 12:09:36,Male,Yes,,JavaScript,A Start-up,Backend Engineer,Junior,1,0-1,"24,250.00",Remote/Egypt,Software House,B2B,20-25K,Technology,Another currency (e.g USD),Alexandria
4/2/2024 12:09:51,Male,Yes,Global,"Java, JavaScript, TypeScript, HTML/CSS",A Large Enterprise/Multinational Company,Full-stack Engineer,Mid-level,2,1-3,"20,000.00",Hybrid,Software House,B2B,20-25K,Telecommunications,EGP,Cairo
4/2/2024 12:10:13,Female,Yes,Regional,C#,A Start-up,Backend Engineer,Team Lead,9,8-10,"55,000.00",Office,Product-based company,B2C,50-60K,E commerce,EGP,Cairo
4/2/2024 12:10:55,Male,Yes,,"C#, TypeScript",A Large Enterprise/Multinational Company,Full-stack Engineer,Mid-level,1,0-1,"21,000.00",Remote/Egypt,Software House,B2B,20-25K,"Insurance, Telecommunications",EGP,Cairo
4/2/2024 12:11:37,Male,Yes,Local,"JavaScript, TypeScript",A Start-up,Backend Engineer,Mid-level,2.6,1-3,"30,000.00",Hybrid,Product-based company,B2C,30-35K,Fintech,EGP,Cairo
4/2/2024 12:11:38,Female,Yes,Regional,Python,A Start-up,Data Scientist,Mid-level,2,1-3,"20,000.00",Office,Software House,B2B,20-25K,"Transportation, Technology",EGP,Cairo
4/2/2024 12:11:58,Male,Yes,,JavaScript,A Start-up,Backend Engineer,Mid-level,3,1-3,"27,000.00",Remote/Egypt,Product-based company,B2C,25-30K,,EGP,Cairo
4/2/2024 12:12:20,Male,Yes,,"JavaScript, Python, Go",A Small and Medium Enterprise,Backend Engineer,Junior,1.5,1-3,"16,000.00",Remote/Abroad,Product-based company,B2B & B2C lines,15-20K,Education,EGP,No site in Egypt
4/2/2024 12:13:58,Male,Yes,,Python,A Small and Medium Enterprise,Data Scientist,Junior,1,0-1,"22,500.00",Hybrid,Both,B2B,20-25K,Fintech,EGP,Cairo
4/2/2024 12:14:11,Male,Yes,,Ruby,A Start-up,Backend Engineer,Senior,4,3-5,"45,000.00",Hybrid,Product-based company,B2B & B2C lines,40-50K,"Delivery, Supply Chain, Transportation",EGP,Cairo
4/2/2024 12:15:43,Male,No,,"JavaScript, TypeScript, HTML/CSS",A Start-up,Full-stack Engineer,Junior,1,0-1,"8,000.00",Remote/Egypt,Product-based company,B2B,5-10K,Human Resources Services,EGP,Cairo
4/2/2024 12:16:18,Male,Yes,,"Java, Kotlin",A Large Enterprise/Multinational Company,Mobile Development Engineer,Senior,6,5-8,"70,000.00",Hybrid,Product-based company,B2B & B2C lines,70-80K,Retail,EGP,Cairo
4/2/2024 12:16:51,Female,No,,"JavaScript, HTML/CSS",A Start-up,Full-stack Engineer,Junior,0,0-1,"16,000.00",Remote/Egypt,Software House,B2B & B2C lines,15-20K,Education,EGP,Cairo
4/2/2024 12:19:27,Female,No,Regional,,A Small and Medium Enterprise,Product Owner,Junior,1.5,1-3,"20,000.00",Hybrid,Product-based company,B2B,20-25K,"Technology, Loyalty systems",EGP,Cairo
4/2/2024 12:19:54,Male,Yes,,Java,A Large Enterprise/Multinational Company,Backend Engineer,Senior,8,5-8,"155,200.00",Remote/Abroad,Software House,B2B,140-160K,Technology,Another currency (e.g USD),Cairo
4/2/2024 12:20:00,Female,Yes,Local,Swift,A Start-up,Mobile Development Engineer,Mid-level,3,1-3,"24,000.00",Hybrid,Product-based company,B2B,20-25K,Fintech,EGP,Cairo
4/2/2024 12:20:16,Female,Yes,,Python,A Large Enterprise/Multinational Company,Data Analytics,Mid-level,3,1-3,"16,000.00",Hybrid,Business intelligence company,B2C,15-20K,Healthcare,EGP,Alexandria
